Source: Wittgenstein Centre for Demography and Global Human Capital (2018). Wittgenstein Centre Data Explorer Version 2.0
Available at: www.wittgensteincentre.org/dataexplorer 

""
"Population Size by Broad Age (000's)"
"De facto population in a country or region, classified by sex and by broad age groups. Available by level of educational attainment, in all scenarios, and at all geographical scales. Figures are presented in thousands. <br><br> Source for 1950 to 2015: <a href=""http://esa.un.org/wpp/documentation/WPP%202010%20publications.htm"">UN Population Division, World Population Prospects 2017</a>"
"Multiple Scenarios"
" "
"Scenario","Area","Year","Age","Sex","Population"
"SSP2","Gabon",2100,"0--14","Male",256.7
"SSP2","Gambia",2015,"0--14","Male",455.7
"SSP2","Gambia",2020,"0--14","Male",499.3
"SSP2","Gambia",2030,"0--14","Male",517.9
"SSP2","Gambia",2050,"0--14","Male",503.7
"SSP2","Gambia",2100,"0--14","Male",368.7
"SSP2","Georgia",2015,"0--14","Male",388.4
"SSP2","Georgia",2020,"0--14","Male",384.3
"SSP2","Georgia",2030,"0--14","Male",288.8
"SSP2","Georgia",2050,"0--14","Male",204.7
"SSP2","Georgia",2100,"0--14","Male",93.9
"SSP2","Germany",2015,"0--14","Male",5502.4
"SSP2","Germany",2020,"0--14","Male",5513.3
"SSP2","Germany",2030,"0--14","Male",5592.9
"SSP2","Germany",2050,"0--14","Male",5184.2
"SSP2","Germany",2100,"0--14","Male",5439.7
"SSP2","Ghana",2015,"0--14","Male",5464.8
"SSP2","Ghana",2020,"0--14","Male",5923.6
"SSP2","Ghana",2030,"0--14","Male",6310.1
"SSP2","Ghana",2050,"0--14","Male",6695.2
"SSP2","Ghana",2100,"0--14","Male",5068.3
"SSP2","Greece",2015,"0--14","Male",839.1
"SSP2","Greece",2020,"0--14","Male",814.7
"SSP2","Greece",2030,"0--14","Male",733.5
"SSP2","Greece",2050,"0--14","Male",723.8
"SSP2","Greece",2100,"0--14","Male",669.7
"SSP2","Grenada",2015,"0--14","Male",14.5
"SSP2","Grenada",2020,"0--14","Male",14.3
"SSP2","Grenada",2030,"0--14","Male",12
"SSP2","Grenada",2050,"0--14","Male",7.7
"SSP2","Grenada",2100,"0--14","Male",1.6
"SSP2","Guadeloupe",2015,"0--14","Male",44.7
"SSP2","Guadeloupe",2020,"0--14","Male",40.1
"SSP2","Guadeloupe",2030,"0--14","Male",38.2
"SSP2","Guadeloupe",2050,"0--14","Male",34.3
"SSP2","Guadeloupe",2100,"0--14","Male",26.2
"SSP2","Guam",2015,"0--14","Male",21.2
"SSP2","Guam",2020,"0--14","Male",20.4
"SSP2","Guam",2030,"0--14","Male",19.3
"SSP2","Guam",2050,"0--14","Male",16
"SSP2","Guam",2100,"0--14","Male",10.2
"SSP2","Guatemala",2015,"0--14","Male",3007.3
"SSP2","Guatemala",2020,"0--14","Male",3045.5
"SSP2","Guatemala",2030,"0--14","Male",3170.6
"SSP2","Guatemala",2050,"0--14","Male",2936.8
"SSP2","Guatemala",2100,"0--14","Male",1775.9
"SSP2","Guinea",2015,"0--14","Male",2595.7
"SSP2","Guinea",2020,"0--14","Male",2833.7
"SSP2","Guinea",2030,"0--14","Male",3064.5
"SSP2","Guinea",2050,"0--14","Male",3028.6
"SSP2","Guinea",2100,"0--14","Male",2029.6
"SSP2","Guinea-Bissau",2015,"0--14","Male",369.8
"SSP2","Guinea-Bissau",2020,"0--14","Male",402.7
"SSP2","Guinea-Bissau",2030,"0--14","Male",412.7
"SSP2","Guinea-Bissau",2050,"0--14","Male",389.8
"SSP2","Guinea-Bissau",2100,"0--14","Male",231.4
"SSP2","Guyana",2015,"0--14","Male",117.6
"SSP2","Guyana",2020,"0--14","Male",109
"SSP2","Guyana",2030,"0--14","Male",93.7
"SSP2","Guyana",2050,"0--14","Male",57.5
"SSP2","Guyana",2100,"0--14","Male",10.4
"SSP2","Haiti",2015,"0--14","Male",1838.1
"SSP2","Haiti",2020,"0--14","Male",1835.9
"SSP2","Haiti",2030,"0--14","Male",1705.3
"SSP2","Haiti",2050,"0--14","Male",1330.5
"SSP2","Haiti",2100,"0--14","Male",628.9
"SSP2","Honduras",2015,"0--14","Male",1506
"SSP2","Honduras",2020,"0--14","Male",1484.1
"SSP2","Honduras",2030,"0--14","Male",1508.3
"SSP2","Honduras",2050,"0--14","Male",1361.7
"SSP2","Honduras",2100,"0--14","Male",813.5
"SSP2","Hong Kong Special Administrative Region of China",2015,"0--14","Male",418.3
"SSP2","Hong Kong Special Administrative Region of China",2020,"0--14","Male",476.9
"SSP2","Hong Kong Special Administrative Region of China",2030,"0--14","Male",528.7
"SSP2","Hong Kong Special Administrative Region of China",2050,"0--14","Male",453.5
"SSP2","Hong Kong Special Administrative Region of China",2100,"0--14","Male",635.6
"SSP2","Hungary",2015,"0--14","Male",725.8
"SSP2","Hungary",2020,"0--14","Male",698.6
"SSP2","Hungary",2030,"0--14","Male",636.9
"SSP2","Hungary",2050,"0--14","Male",553
"SSP2","Hungary",2100,"0--14","Male",456.8
"SSP2","Iceland",2015,"0--14","Male",34.3
"SSP2","Iceland",2020,"0--14","Male",35
"SSP2","Iceland",2030,"0--14","Male",34.3
"SSP2","Iceland",2050,"0--14","Male",34.1
"SSP2","Iceland",2100,"0--14","Male",31.8
"SSP2","India",2015,"0--14","Male",197741.3
"SSP2","India",2020,"0--14","Male",192215.7
"SSP2","India",2030,"0--14","Male",181705.4
"SSP2","India",2050,"0--14","Male",154754.1
"SSP2","India",2100,"0--14","Male",97448.5
"SSP2","Indonesia",2015,"0--14","Male",36815.3
"SSP2","Indonesia",2020,"0--14","Male",36126.6
"SSP2","Indonesia",2030,"0--14","Male",32813.2
"SSP2","Indonesia",2050,"0--14","Male",26292.1
"SSP2","Indonesia",2100,"0--14","Male",16168.9
"SSP2","Iran (Islamic Republic of)",2015,"0--14","Male",9580.9
"SSP2","Iran (Islamic Republic of)",2020,"0--14","Male",10165.6
"SSP2","Iran (Islamic Republic of)",2030,"0--14","Male",8804
"SSP2","Iran (Islamic Republic of)",2050,"0--14","Male",7071.4
"SSP2","Iran (Islamic Republic of)",2100,"0--14","Male",4444
"SSP2","Iraq",2015,"0--14","Male",7551.9
"SSP2","Iraq",2020,"0--14","Male",8365.5
"SSP2","Iraq",2030,"0--14","Male",9042.6
"SSP2","Iraq",2050,"0--14","Male",9206.4
"SSP2","Iraq",2100,"0--14","Male",6602.6
"SSP2","Ireland",2015,"0--14","Male",524
"SSP2","Ireland",2020,"0--14","Male",530.1
"SSP2","Ireland",2030,"0--14","Male",461.6
"SSP2","Ireland",2050,"0--14","Male",490.4
"SSP2","Ireland",2100,"0--14","Male",430.1
"SSP2","Israel",2015,"0--14","Male",1154.1
"SSP2","Israel",2020,"0--14","Male",1244.9
"SSP2","Israel",2030,"0--14","Male",1353.3
"SSP2","Israel",2050,"0--14","Male",1678.5
"SSP2","Israel",2100,"0--14","Male",2172
"SSP2","Italy",2015,"0--14","Male",4201.8
"SSP2","Italy",2020,"0--14","Male",4026.6
"SSP2","Italy",2030,"0--14","Male",3651.5
"SSP2","Italy",2050,"0--14","Male",3503.9
"SSP2","Italy",2100,"0--14","Male",3105.1
"SSP2","Jamaica",2015,"0--14","Male",344.2
"SSP2","Jamaica",2020,"0--14","Male",333.3
"SSP2","Jamaica",2030,"0--14","Male",322.5
"SSP2","Jamaica",2050,"0--14","Male",214.5
"SSP2","Jamaica",2100,"0--14","Male",67.9
"SSP2","Japan",2015,"0--14","Male",8536.5
"SSP2","Japan",2020,"0--14","Male",8139.9
"SSP2","Japan",2030,"0--14","Male",6904.6
"SSP2","Japan",2050,"0--14","Male",5758
"SSP2","Japan",2100,"0--14","Male",3852.5
"SSP2","Jordan",2015,"0--14","Male",1673.9
"SSP2","Jordan",2020,"0--14","Male",1784.2
"SSP2","Jordan",2030,"0--14","Male",1851.6
"SSP2","Jordan",2050,"0--14","Male",1854.6
"SSP2","Jordan",2100,"0--14","Male",1517.3
"SSP2","Kazakhstan",2015,"0--14","Male",2441.9
"SSP2","Kazakhstan",2020,"0--14","Male",2708.5
"SSP2","Kazakhstan",2030,"0--14","Male",2246.5
"SSP2","Kazakhstan",2050,"0--14","Male",1907
"SSP2","Kazakhstan",2100,"0--14","Male",1001.1
"SSP2","Kenya",2015,"0--14","Male",9848
"SSP2","Kenya",2020,"0--14","Male",10565.1
"SSP2","Kenya",2030,"0--14","Male",11513
"SSP2","Kenya",2050,"0--14","Male",12410.5
"SSP2","Kenya",2100,"0--14","Male",9433.8
"SSP2","Kiribati",2015,"0--14","Male",20.1
"SSP2","Kiribati",2020,"0--14","Male",21.8
"SSP2","Kiribati",2030,"0--14","Male",21.8
"SSP2","Kiribati",2050,"0--14","Male",20.7
"SSP2","Kiribati",2100,"0--14","Male",13.4
"SSP2","Kuwait",2015,"0--14","Male",425.9
"SSP2","Kuwait",2020,"0--14","Male",473.2
"SSP2","Kuwait",2030,"0--14","Male",434.5
"SSP2","Kuwait",2050,"0--14","Male",425.4
"SSP2","Kuwait",2100,"0--14","Male",359.1
"SSP2","Kyrgyzstan",2015,"0--14","Male",932.6
"SSP2","Kyrgyzstan",2020,"0--14","Male",1035.1
"SSP2","Kyrgyzstan",2030,"0--14","Male",950.8
"SSP2","Kyrgyzstan",2050,"0--14","Male",811.3
"SSP2","Kyrgyzstan",2100,"0--14","Male",445.2
"SSP2","Lao People's Democratic Republic",2015,"0--14","Male",1145.6
"SSP2","Lao People's Democratic Republic",2020,"0--14","Male",1159.6
"SSP2","Lao People's Democratic Republic",2030,"0--14","Male",1110.2
